hospital_name,state,total_spending_per_beneficiary,readmission_rate,mortality_rate,patient_experience_score
Hospital 1,RI,10457.27,19.27,3.74,76.17
Hospital 2,NH,8852.89,18.39,3.49,61.3
Hospital 3,IA,14972,15.33,4.75,78.47
Hospital 4,TX,11896.73,20.23,3.19,76.93
Hospital 5,DE,12434.92,11.38,3.45,89.84
Hospital 6,MA,14269.68,13.79,1,69.8
Hospital 7,RI,11978.02,11.49,1.81,65.01
Hospital 8,ME,13128.53,18.13,1,74.26
Hospital 9,MN,14039.63,12.67,3.69,67.02
Hospital 10,HI,13416.89,14.32,3.42,78.39
Hospital 11,HI,12714.95,17.47,3.38,59.4
Hospital 12,MS,16457.78,17.79,1.94,71.95
Hospital 13,OK,15104.93,11.37,1.83,68.72
Hospital 14,SC,11785.59,19.23,3.25,83.68
Hospital 15,MS,9725.77,16.82,2.2,69.89
Hospital 16,AZ,13596.56,10.67,1.78,60.64
Hospital 17,MI,12539.65,9.69,2.39,75.98
Hospital 18,AK,16272.49,14.94,2.21,81.2
Hospital 19,MS,14468.73,18.4,1.96,75.29
Hospital 20,UT,13910.51,18.5,1.53,71.89
Hospital 21,NJ,12032.38,16.42,3.54,71.28
Hospital 22,PA,9810.75,15.19,4.87,79.13
Hospital 23,AK,11505.09,17.05,2.95,69.11
Hospital 24,MA,13192.07,11.58,3.27,74.72
Hospital 25,NC,7676.05,21.75,3.64,85.5
Hospital 26,ID,15104.28,21.7,3.44,64.99
Hospital 27,MI,17167.61,16.72,1.98,77.56
Hospital 28,UT,7137.65,15.79,5.06,60.11
Hospital 29,MO,8499.46,13.35,2.09,80.28
Hospital 30,WI,12574.16,17.11,3.78,68.21
Hospital 31,NE,10543.55,12.23,3.64,88.2
Hospital 32,TN,12652.27,6.11,1,63.23
Hospital 33,NV,11820.81,5,2.57,82.42
Hospital 34,KS,9440.45,11.8,3.07,90.21
Hospital 35,IA,15221.02,15.63,3.16,67.69
Hospital 36,WA,13161.29,16.33,3.36,69.38
Hospital 37,UT,10600.65,13.05,3.91,68.56
Hospital 38,AZ,15762.56,15.57,2.99,73.14
Hospital 39,OR,10728.99,13.9,3.43,83.17
Hospital 40,CT,8895.4,11,2.95,72.32
Hospital 41,MA,12458.78,14.79,1.78,66.79
Hospital 42,FL,12882.89,18.25,3.04,57.81
Hospital 43,RI,13329.79,11.18,3.9,94.02
Hospital 44,LA,13740.88,11.19,4.33,94.8
Hospital 45,AR,13290.31,10.72,3.64,83.6
Hospital 46,MO,13188.73,7.25,4.6,69.9
Hospital 47,IN,10565.62,13.08,3.5,85.48
Hospital 48,WY,10298.14,17.86,4.04,87.49
Hospital 49,FL,13855.91,15.7,4.12,75.46
Hospital 50,MT,12608.64,14.32,2.73,78.41
Hospital 51,AK,14050.61,15.52,3.87,90.32
Hospital 52,MD,7731.81,13.04,1.87,61.6
Hospital 53,NV,10748.03,7.21,3.42,87.98
Hospital 54,WA,16767.55,18.13,3.69,74.91
Hospital 55,CT,13381.33,19.28,4.26,66.87
Hospital 56,UT,12738.88,12.09,3.98,67.7
Hospital 57,DE,13769.81,14.4,4.28,69.35
Hospital 58,WA,17521.13,14.05,2.88,65.9
Hospital 59,OH,16995.12,16.41,2.59,95.71
Hospital 60,IN,8051.2,21.76,2.67,82.91
Hospital 61,KY,8973.75,19.64,3.32,88.64
Hospital 62,OK,7966.47,13.49,1,83.62
Hospital 63,WY,10132.23,17.17,4.6,78.61
